,c1,c2
4691,business,man
4692,pitch,man
4693,plains,man
4694,barge,man
4695,oars,man
4696,wolf,man
4697,woods,man
4698,post,man
4699,oil,man
4700,frog,man
4701,taxi,man
4702,book,man
4703,bell,man
4704,hod,man
4705,pack,man
4706,malt,man
4707,press,man
4708,aircrew,man
4709,camera,man
4710,privateers,man
4711,livery,man
4712,desk,man
4713,fields,man
4714,trencher,man
4715,kins,man
4716,stable,man
4717,helms,man
4718,earth,man
4719,pot,man
4720,delivery,man
4721,longbow,man
4722,congress,man
4723,boat,man
4724,merchant,man
4725,stock,man
4726,foot,man
4727,highway,man
4728,artillery,man
4729,bar,man
4730,frontiers,man
4731,vestry,man
4732,charge,man
4733,gas,man
4734,lay,man
4735,foe,man
4736,hotel,man
4737,show,man
4738,steers,man
4739,swag,man
4740,school,man
4741,motor,man
4742,mat,man
4743,hit,man
4744,yard,man
4745,working,man
4746,nursery,man
4747,trades,man
4748,weather,man
4749,longshore,man
4750,journey,man
4751,sandwich,man
4752,trigger,man
4753,sea,man
4754,railway,man
4755,shaggy,mane
4756,over,mantel
4757,bit,map
4758,bit,maps
4759,route,march
4760,brood,mare
4761,night,mare
4762,brood,mares
4763,night,mares
4764,bench,mark
4765,trade,mark
4766,hash,mark
4767,pock,mark
4768,birth,mark
4769,post,mark
4770,foot,mark
4771,book,mark
4772,tide,mark
4773,finger,mark
4774,mint,mark
4775,water,mark
4776,press,mark
4777,land,mark
4778,ear,mark
4779,hall,mark
4780,style,mark
4781,book,marker
4782,green,market
4783,hyper,markets
4784,birth,marks
4785,foot,marks
4786,hall,marks
4787,ear,marks
4788,pock,marks
4789,book,marks
4790,land,marks
4791,tide,marks
4792,water,marks
4793,trade,marks
4794,post,marks
4795,finger,marks
4796,bench,marks
4797,foul,mart
4798,gas,mask
4799,stone,mason
4800,free,masonry
4801,stone,masons
4802,land,mass
4803,ground,mass
4804,land,masses
4805,top,mast
4806,main,mast
4807,mizzen,mast
4808,fore,mast
4809,mizen,mast
4810,jigger,mast
4811,pay,master
4812,choir,master
4813,station,master
4814,whore,master
4815,task,master
4816,quarter,master
4817,spy,master
4818,toast,master
4819,school,master
4820,scout,master
4821,house,master
4822,grand,master
4823,web,master
4824,lock,master
4825,quiz,master
4826,post,master
4827,band,master
4828,head,master
4829,ring,master
4830,yard,master
4831,train,master
4832,house,masters
4833,task,masters
4834,head,masters
4835,quarter,masters
4836,yard,masters
4837,school,masters
4838,band,masters
4839,post,masters
4840,ring,masters
4841,station,masters
4842,toast,masters
4843,scout,masters
4844,pay,masters
4845,choir,masters
4846,head,mastership
4847,main,masts
4848,top,masts
4849,mizzen,masts
4850,door,mat
4851,room,mate
4852,school,mate
4853,check,mate
4854,camp,mate
4855,house,mate
4856,mess,mate
4857,class,mate
4858,bunk,mate
4859,ship,mate
4860,stable,mate
4861,stale,mate
4862,work,mate
4863,table,mate
4864,team,mate
4865,flat,mate
4866,play,mate
4867,help,mate
4868,team,mates
4869,bunk,mates
4870,check,mates
4871,school,mates
4872,ship,mates
4873,stable,mates
4874,room,mates
4875,stale,mates
4876,class,mates
4877,help,mates
4878,mess,mates
4879,play,mates
4880,work,mates
4881,flat,mates
4882,after,math
4883,after,maths
4884,door,mats
4885,water,meal
4886,corn,meal
4887,oat,meal
4888,bone,meal
4889,horse,meat
4890,sweet,meat
4891,force,meat
4892,mince,meat
4893,crab,meat
4894,sweet,meats
4895,para,medic
4896,help,meet
4897,musk,melon
4898,water,melon
4899,water,melons
4900,musk,melons
4901,jacks,melt
4902,clergy,men
4903,tax,men
4904,fisher,men
4905,frontiers,men
4906,lines,men
4907,freed,men
4908,bar,men
4909,longshore,men
4910,cow,men
4911,patrol,men
4912,bow,men
4913,bell,men
4914,bat,men
4915,guards,men
4916,fire,men
4917,cave,men
4918,alder,men
4919,gentle,men
4920,heads,men
4921,underclass,men
4922,news,men
4923,bands,men
4924,artillery,men
4925,bond,men
4926,chair,men
4927,congress,men
4928,watch,men
4929,drafts,men
4930,mad,men
4931,pitch,men
4932,tribes,men
4933,towns,men
4934,herds,men
4935,crafts,men
4936,hunts,men
4937,aircraft,men
4938,gas,men
4939,foot,men
4940,swords,men
4941,fresh,men
4942,free,men
4943,kins,men
4944,strong,men
4945,plow,men
4946,journey,men
4947,stable,men
4948,show,men
4949,chess,men
4950,militia,men
4951,grooms,men
4952,link,men
4953,service,men
4954,wood,men
4955,air,men
4956,snow,men
4957,husband,men
4958,muscle,men
4959,ferry,men
4960,bus,men
4961,laundry,men
4962,infantry,men
4963,oars,men
4964,clans,men
4965,handy,men
4966,trencher,men
4967,post,men
4968,newspaper,men
4969,states,men
4970,select,men
4971,grounds,men
4972,delivery,men
4973,jury,men
4974,spokes,men
4975,helms,men
4976,assembly,men
4977,merchant,men
4978,sales,men
4979,quarry,men
4980,sea,men
4981,lay,men
4982,livery,men
4983,railway,men
4984,lumber,men
4985,committee,men
4986,cavalry,men
4987,church,men
4988,camera,men
4989,press,men
4990,plains,men
4991,frog,men
4992,repair,men
4993,boat,men
4994,barge,men
4995,place,men
4996,middle,men
4997,dust,men
4998,brake,men
4999,bonds,men
5000,business,men
5001,gun,men
5002,oil,men
5003,line,men
5004,bats,men
5005,bogey,men
5006,nursery,men
5007,council,men
5008,dairy,men
5009,yachts,men
5010,mail,men
5011,cattle,men
5012,rifle,men
5013,steers,men
5014,milk,men
5015,work,men
5016,train,men
5017,ice,men
5018,weather,men
5019,vestry,men
5020,signal,men
5021,backwoods,men
5022,midship,men
5023,motor,men
5024,door,men
5025,fields,men
5026,lands,men
5027,hang,men
5028,police,men
5029,head,men
5030,highway,men
5031,country,men
5032,noble,men
5033,woods,men
5034,crew,men
5035,coach,men
5036,yard,men
5037,bush,men
5038,letter,men
5039,trades,men
5040,working,men
5041,law,men
5042,sports,men
5043,sand,men
5044,pen,men
5045,marks,men
5046,space,men
5047,horse,men
5048,house,men
5049,anchor,men
5050,gun,metal
5051,taxi,meter
5052,audio,meter
5053,flux,meter
5054,volt,meter
5055,gauss,meter
5056,ohm,meter
5057,volt,meters
5058,ohm,meters
5059,audio,meters
5060,photo,meters
5061,taxi,meters
5062,field,mice
5063,butter,milk
5064,fore,milk
5065,soy,milk
5066,gin,mill
5067,lumber,mill
5068,grist,mill
5069,wind,mill
5070,saw,mill
5071,spice,mill
5072,tread,mill
5073,wind,mills
5074,tread,mills
5075,grist,mills
5076,saw,mills
5077,master,mind
5078,feeble,mindedness
5079,baby,minder
5080,net,minder
5081,master,minds
5082,gold,mine
5083,gold,mines
5084,top,minnow
5085,apple,mint
5086,pepper,mint
5087,cat,mint
5088,spear,mint
5089,horse,mint
5090,pepper,mints
5091,head,mistress
5092,task,mistress
5093,post,mistress
5094,school,mistress
5095,post,mistresses
5096,school,mistresses
5097,head,mistresses
5098,task,mistresses
5099,book,mobile
5100,snow,mobile
5101,blood,mobile
5102,blood,mobiles
5103,snow,mobiles
5104,book,mobiles
5105,hood,mold
5106,super,mom
5107,scare,monger
5108,word,monger
5109,fashion,monger
5110,iron,monger
5111,war,monger
5112,whore,monger
5113,rumour,monger
5114,cheese,monger
5115,rumor,monger
5116,gossip,monger
5117,scandal,monger
5118,fish,monger
5119,hate,monger
5120,news,monger
5121,gossip,mongering
5122,scandal,mongering
5123,war,mongering
5124,scare,mongers
5125,war,mongers
5126,fish,mongers
5127,hate,mongers
5128,scandal,mongers
5129,rumor,mongers
5130,iron,mongers
5131,twelve,month
5132,twelve,months
5133,honey,moon
5134,honey,moons
5135,dust,mop
5136,roll,mops
5137,spike,moss
5138,ditch,moss
5139,hawk,moth
5140,grand,mother
5141,step,mother
5142,house,mother
5143,god,mother
5144,house,mothers
5145,grand,mothers
5146,god,mothers
5147,hood,mould
5148,sea,mount
5149,tit,mouse
5150,shrew,mouse
5151,field,mouse
5152,motor,mouth
5153,large,mouth
5154,loud,mouth
5155,cotton,mouth
5156,frog,mouth
5157,goal,mouth
5158,small,mouth
5159,blabber,mouth
5160,wry,mouth
5161,blabber,mouths
5162,cotton,mouths
5163,motor,mouths
5164,goal,mouths
5165,loud,mouths
5166,hay,mow
5167,hay,mows
5168,over,much
5169,over,muchness
5170,ear,muff
5171,ear,muffs
5172,seas,nail
5173,hob,nail
5174,tree,nail
5175,hang,nail
5176,thumb,nail
5177,finger,nail
5178,door,nail
5179,toe,nail
5180,hob,nails
5181,finger,nails
5182,hang,nails
5183,thumb,nails
5184,toe,nails
5185,file,name
5186,fore,name
5187,nick,name
5188,nick,names
5189,gingers,nap
5190,cat,nap
5191,whippers,napper
5192,kid,napper
5193,whippers,nappers
5194,kid,nappers
5195,kid,napping
5196,cat,naps
5197,gingers,naps
5198,super,naturals
5199,dread,naught
5200,goose,neck
5201,little,neck
5202,leather,neck
5203,bottle,neck
5204,rough,neck
5205,fiddle,neck
5206,wry,neck
5207,swan,neck
5208,rubber,neck
5209,red,neck
5210,turtle,neck
5211,crook,neck
5212,rubber,necker
5213,bottle,necks
5214,turtle,necks
5215,red,necks
5216,rough,necks
5217,crook,necks
5218,leather,necks
5219,rubber,necks
5220,grand,nephew
5221,grand,nephews
5222,snowblind,ness
5223,airsick,ness
5224,heartsick,ness
5225,seasick,ness
5226,lovesick,ness
5227,overmuch,ness
5228,homesick,ness
5229,bird,nest
5230,bird,nesting
5231,drag,net
5232,word,net
5233,fish,net
5234,ether,net
5235,hair,net
5236,hair,nets
5237,fish,nets
5238,drag,nets
5239,grand,niece
5240,grand,nieces
5241,week,night
5242,mid,night
5243,week,nights
5244,mid,nights
5245,cat,nip
5246,tins,nips
5247,egg,nog
5248,after,noon
5249,after,noons
5250,hook,nose
5251,blue,nose
5252,bull,nose
5253,bladder,nose
5254,bottle,nose
5255,cone,nose
5256,blue,noses
5257,what,not
5258,key,note
5259,foot,note
5260,bank,note
5261,bank,notes
5262,key,notes
5263,foot,notes
5264,dread,nought
5265,wet,nurse
5266,bitter,nut
5267,dough,nut
5268,thumb,nut
5269,beech,nut
5270,earth,nut
5271,pig,nut
5272,chest,nut
5273,butter,nut
5274,cocoa,nut
5275,lock,nut
5276,mocker,nut
5277,coco,nut
5278,candle,nut
5279,cob,nut
5280,hazel,nut
5281,pea,nut
5282,ground,nut
5283,cob,nuts
5284,chest,nuts
5285,ground,nuts
5286,coco,nuts
5287,hazel,nuts
5288,butter,nuts
5289,beech,nuts
5290,pea,nuts
5291,cut,off
5292,put,off
5293,trade,off
5294,play,off
5295,run,off
5296,take,off
5297,sell,off
5298,lay,off
5299,kick,off
5300,blast,off
5301,pay,off
5302,set,off
5303,turn,off
5304,lift,off
5305,stand,off
5306,knock,off
5307,fall,off
5308,hand,off
5309,turn,offs
5310,cut,offs
5311,run,offs
5312,pay,offs
5313,stand,offs
5314,fall,offs
5315,play,offs
5316,tops,oil
5317,inners,ole
5318,ins,ole
5319,ins,oles
5320,inners,oles
5321,overt,one
5322,merest,one
5323,gravest,one
5324,some,one
5325,freest,one
5326,bluest,one
5327,overt,ones
5328,gravest,ones
5329,freest,ones
5330,milks,ops
5331,tablet,ops
5332,fibre,optics
5333,fiber,optics
5334,battled,ore
5335,eyes,ore
5336,beds,ore
5337,battled,ores
5338,beds,ores
5339,eyes,ores
5340,fluid,ounce
5341,check,out
5342,buy,out
5343,cut,out
5344,put,out
5345,wash,out
5346,take,out
5347,hold,out
5348,blow,out
5349,fade,out
5350,lay,out
5351,break,out
5352,walk,out
5353,work,out
5354,turn,out
5355,knock,out
5356,close,out
5357,black,out
5358,strike,out
5359,fall,out
5360,drop,out
5361,print,out
5362,look,out
5363,shoot,out
5364,hide,out
5365,cook,out
5366,shake,out
5367,wipe,out
5368,shut,out
5369,stake,out
5370,white,out
5371,hand,out
5372,hang,out
5373,sell,out
5374,fold,out
5375,dug,out
5376,lock,out
5377,try,out
5378,cop,out
5379,print,outs
5380,try,outs
5381,break,outs
5382,fold,outs
5383,buy,outs
5384,cut,outs
5385,stake,outs
5386,sell,outs
5387,black,outs
5388,strike,outs
5389,walk,outs
5390,turn,outs
5391,hang,outs
5392,cook,outs
5393,check,outs
5394,hide,outs
5395,put,outs
5396,hand,outs
5397,blow,outs
5398,look,outs
5399,hold,outs
5400,shake,outs
5401,change,over
5402,lay,over
5403,make,over
5404,slip,over
5405,walk,over
5406,cross,over
5407,push,over
5408,stop,over
5409,pull,over
5410,left,over
5411,fly,over
5412,pop,over
5413,roll,over
5414,flash,over
5415,sleep,over
5416,spill,over
5417,hand,over
5418,hang,over
5419,turn,over
5420,hold,over
5421,take,over
5422,pull,overs
5423,make,overs
5424,turn,overs
5425,hang,overs
5426,walk,overs
5427,fly,overs
5428,cross,overs
5429,spill,overs
5430,stop,overs
5431,change,overs
5432,hand,overs
5433,roll,overs
5434,pop,overs
5435,hold,overs
5436,push,overs
5437,closed,own
5438,land,owner
5439,home,owner
5440,ship,owner
5441,share,owner
5442,home,owners
5443,ship,owners
5444,land,owners
5445,backs,pace
5446,crawls,pace
5447,airs,pace
5448,heads,pace
5449,works,pace
5450,backs,pacer
5451,backs,paces
5452,crawls,paces
5453,back,pack
5454,six,pack
5455,back,packer
5456,back,packers
5457,meat,packing
5458,back,packing
5459,back,packs
5460,key,pad
5461,launch,pad
5462,ink,pad
5463,note,pad
5464,shin,pad
5465,scratch,pad
5466,foot,pad
5467,mouse,pad
5468,key,pads
5469,launch,pads
5470,note,pads
5471,scratch,pads
5472,web,page
5473,home,page
5474,home,pages
5475,after,pains
5476,grease,paint
5477,house,paint
5478,finger,paint
5479,bed,pan
5480,dust,pan
5481,hard,pan
5482,stew,pan
5483,dish,pan
5484,knee,pan
5485,brain,pan
5486,sauce,pan
5487,skid,pan
5488,wings,pan
5489,fry,pan
5490,salt,pan
5491,window,pane
5492,window,panes
5493,wings,pans
5494,dish,pans
5495,dust,pans
5496,bed,pans
5497,sauce,pans
5498,skid,pans
5499,sweat,pants
5500,under,pants
5501,note,paper
5502,wall,paper
5503,news,paper
5504,sand,paper
5505,oil,paper
5506,fly,paper
5507,wall,paperer
5508,news,papering
5509,fly,papers
5510,sand,papers
5511,wall,papers
5512,news,papers
5513,grand,parent
5514,god,parent
5515,grand,parents
5516,god,parents
5517,ball,park
5518,ball,parks
5519,mouth,part
5520,under,part
5521,under,parts
5522,grand,pas
5523,over,pass
5524,under,pass
5525,over,passes
5526,under,passes
5527,fly,past
5528,tooth,paste
5529,fish,paste
5530,tooth,pastes
5531,fly,pasts
5532,eye,patch
5533,cross,patch
5534,brier,patch
5535,war,path
5536,foot,path
5537,tow,path
5538,tow,paths
5539,foot,paths
5540,war,paths
5541,south,paw
5542,fore,paws
5543,south,paws
5544,tax,payer
5545,rate,payer
5546,rate,payers
5547,tax,payers
5548,over,payment
5549,under,payment
5550,under,payments
5551,chick,pea
5552,cow,pea
5553,sweet,pea
5554,doctors,peak
5555,news,peak
5556,doubles,peak
5557,chick,peas
5558,sweet,peas
5559,wood,pecker
5560,tee,pee
5561,grounds,peed
5562,airs,peed
5563,ball,pen
5564,bull,pen
5565,pig,pen
5566,play,pen
5567,eight,pence
5568,four,pence
5569,two,pence
5570,five,pence
5571,nine,pence
5572,ten,pence
5573,six,pence
5574,three,pence
5575,half,penny
5576,half,pennyworth
5577,bull,pens
5578,pig,pens
5579,play,pens
5580,anchor,people
5581,business,people
5582,trades,people
5583,lay,people
5584,spokes,people
5585,sales,people
5586,towns,people
5587,doorstop,per
5588,sharecrop,per
5589,eavesdrop,per
5590,wiretap,per
5591,kidnap,per
5592,surf,perch
5593,under,performer
5594,anchor,person
5595,drafts,person
5596,chair,person
5597,lay,person
5598,spokes,person
5599,news,person
5600,business,person
5601,sales,person
5602,kins,person
5603,chair,persons
5604,salt,peter
5605,zoo,phobia
5606,cell,phone
5607,head,phone
5608,ear,phone
5609,speaker,phone
5610,cell,phones
5611,head,phones
5612,ear,phones
5613,radio,photograph
5614,catch,phrase
5615,catch,phrases
5616,ice,pick
5617,tooth,pick
5618,rag,picker
5619,nit,picker
5620,nit,pickers
5621,tooth,picks
5622,cow,pie
5623,pot,pie
5624,pork,pie
5625,nose,piece
5626,cheek,piece
5627,mantle,piece
5628,altar,piece
5629,centre,piece
5630,show,piece
5631,mantel,piece
5632,eye,piece
5633,cod,piece
5634,time,piece
5635,mouth,piece
5636,hair,piece
5637,tail,piece
5638,center,piece
5639,chimney,piece
5640,head,piece
5641,neck,piece
5642,master,piece
5643,work,piece
5644,ear,piece
5645,show,pieces
5646,master,pieces
5647,altar,pieces
5648,ear,pieces
5649,head,pieces
5650,eye,pieces
5651,time,pieces
5652,tail,pieces
5653,cross,pieces
5654,work,pieces
5655,hair,pieces
5656,mantel,pieces
5657,mouth,pieces
5658,cod,pieces
5659,pot,pies
5660,mag,pies
5661,stool,pigeon
5662,hands,pike
5663,marlins,pike
5664,gar,pike
5665,turn,pike
5666,turn,pikes
5667,sand,pile
5668,wood,pile
5669,stock,pile
5670,stock,piles
5671,wood,piles
5672,stock,piling
5673,overs,pill
5674,overs,pills
5675,ten,pin
5676,backs,pin
5677,stick,pin
5678,candle,pin
5679,breast,pin
5680,lynch,pin
5681,nine,pin
5682,duck,pin
5683,hat,pin
5684,hair,pin
5685,push,pin
5686,king,pin
5687,tie,pin
5688,scarf,pin
5689,downs,pin
5690,head,pin
5691,tails,pin
5692,tops,pin
5693,clothes,pin
5694,thole,pin
5695,blacktop,ping
5696,overlap,ping
5697,horsewhip,ping
5698,kidnap,ping
5699,kidnap,pings
5700,outcrop,pings
5701,head,pins
5702,ten,pins
5703,hat,pins
5704,hair,pins
5705,candle,pins
5706,duck,pins
5707,stick,pins
5708,push,pins
5709,king,pins
5710,clothes,pins
5711,tie,pins
5712,tails,pins
5713,nine,pins
5714,cuckoo,pint
5715,blow,pipe
5716,pan,pipe
5717,bag,pipe
5718,hose,pipe
5719,hawse,pipe
5720,tail,pipe
5721,drain,pipe
5722,wind,pipe
5723,stand,pipe
5724,stove,pipe
5725,horn,pipe
5726,bag,piper
5727,sand,piper
5728,sand,pipers
5729,bag,pipers
5730,bag,pipes
5731,wind,pipes
5732,drain,pipes
5733,blow,pipes
5734,stove,pipes
5735,hose,pipes
5736,pan,pipes
5737,stand,pipes
5738,tail,pipes
5739,horn,pipes
5740,stove,piping
5741,coal,pit
5742,turns,pit
5743,flea,pit
5744,cock,pit
5745,saw,pit
5746,chalk,pit
5747,arm,pit
5748,sand,pit
5749,arm,pits
5750,flea,pits
5751,sand,pits
5752,cock,pits
5753,birth,place
5754,market,place
5755,farm,place
5756,common,place
5757,show,place
5758,fire,place
5759,work,place
5760,work,places
5761,common,places
5762,show,places
5763,fire,places
5764,market,places
5765,birth,places
5766,flood,plain
5767,flood,plains
5768,float,plane
5769,mid,plane
5770,war,plane
5771,tail,plane
5772,air,plane
5773,sail,plane
5774,sea,plane
5775,sail,planes
5776,sea,planes
5777,air,planes
5778,war,planes
5779,sail,planing
5780,gang,plank
5781,gang,planks
5782,zoo,plankton
5783,egg,plant
5784,lead,plant
5785,pie,plant
5786,house,plant
5787,house,plants
5788,egg,plants
5789,shin,plaster
5790,breast,plate
5791,name,plate
5792,back,plate
5793,end,plate
5794,book,plate
5795,face,plate
5796,fish,plate
5797,copper,plate
5798,foot,plate
5799,door,plate
5800,hot,plate
5801,bite,plate
5802,tin,plate
5803,boiler,plate
5804,number,plate
5805,foot,plates
5806,breast,plates
5807,name,plates
5808,book,plates
5809,hot,plates
5810,door,plates
5811,screen,play
5812,gun,play
5813,horse,play
5814,word,play
5815,sword,play
5816,ball,player
5817,ball,players
5818,role,playing
5819,screen,plays
5820,lam,plight
5821,counter,plot
5822,snow,plough
5823,snow,ploughs
5824,snow,plow
5825,snow,plows
5826,ear,plug
5827,fire,plug
5828,drain,plug
5829,fire,plugs
5830,ear,plugs
5831,sugar,plum
5832,sugar,plums
5833,over,plus
5834,pick,pocket
5835,pick,pockets
5836,seed,pod
5837,monkey,pod
5838,sickle,pod
5839,fringe,pod
5840,bladder,pod
5841,satin,pod
5842,seed,pods
5843,stand,point
5844,flash,point
5845,blue,point
5846,check,point
5847,choke,point
5848,pin,point
5849,gun,point
5850,spear,point
5851,end,point
5852,needle,point
5853,well,point
5854,silver,point
5855,ball,point
5856,view,point
5857,mid,point
5858,finger,pointing
5859,blue,points
5860,mid,points
5861,check,points
5862,pin,points
5863,view,points
5864,end,points
5865,ball,points
5866,stand,points
5867,slow,poke
5868,cow,poke
5869,slow,pokes
5870,cow,pokes
5871,ridge,pole
5872,flag,pole
5873,lodge,pole
5874,may,pole
5875,tad,pole
5876,tad,poles
5877,ridge,poles
5878,may,poles
5879,flag,poles
5880,black,poll
5881,red,poll
5882,fish,pond
5883,horse,pond
5884,mill,pond
5885,mill,ponds
5886,fish,ponds
5887,corn,pone
5888,whirl,pool
5889,whirl,pools
5890,soups,poon
5891,desserts,poon
5892,teas,poon
5893,tables,poon
5894,over,population
5895,sun,porch
5896,zoos,pore
5897,arches,pore
5898,sea,port
5899,air,port
5900,out,port
5901,car,port
5902,spoils,port
5903,car,ports
5904,air,ports
5905,spoils,ports
5906,sea,ports
5907,air,post
5908,bed,post
5909,mile,post
5910,gate,post
5911,guide,post
5912,door,post
5913,lamp,post
5914,goal,post
5915,rudder,post
5916,sign,post
5917,finger,post
5918,stern,post
5919,guide,posts
5920,bed,posts
5921,mile,posts
5922,goal,posts
5923,door,posts
5924,lamp,posts
5925,gate,posts
5926,sign,posts
5927,eyes,pot
5928,chimney,pot
5929,crack,pot
5930,tea,pot
5931,flower,pot
5932,fuss,pot
5933,sauce,pot
5934,chamber,pot
5935,ink,pot
5936,stink,pot
5937,hots,pot
5938,honey,pot
5939,jam,pot
5940,jack,pot
5941,tali,pot
5942,sex,pot
5943,stock,pot
5944,silvers,pot
5945,suns,pot
5946,nights,pot
5947,hot,pot
5948,coffee,pot
5949,suns,pots
5950,fuss,pots
5951,chamber,pots
5952,crack,pots
5953,flower,pots
5954,tea,pots
5955,stock,pots
5956,nights,pots
5957,coffee,pots
5958,honey,pots
5959,jack,pots
5960,sex,pots
5961,ten,pounder
5962,down,pour
5963,down,pours
5964,eel,pout
5965,waters,pout
5966,horn,pout
5967,waters,pouts
5968,tooth,powder
5969,gun,powder
5970,water,power
5971,brain,power
5972,will,power
5973,candle,power
5974,horse,power
5975,fire,power
5976,man,power
5977,camel,pox
5978,cow,pox
5979,small,pox
5980,chicken,pox
5981,wine,press
5982,letter,press
5983,cider,press
5984,clothes,press
5985,over,pressure
5986,lam,preys
5987,pin,prick
5988,pin,pricks
5989,foot,print
5990,finger,print
5991,thumb,print
5992,blue,print
5993,off,print
5994,news,print
5995,hoof,print
5996,over,print
5997,voice,print
5998,finger,printing
5999,blue,prints
6000,over,prints
6001,foot,prints
6002,off,prints
6003,finger,prints
6004,over,production
6005,under,production
6006,water,proof
6007,bomb,proof
6008,water,proofing
6009,water,proofs
6010,pit,prop
6011,over,protection
6012,brew,pub
6013,brew,pubs
6014,powder,puff
6015,bell,pull
6016,homes,pun
6017,cow,puncher
6018,cow,punchers
6019,hush,puppy
6020,cut,purse
6021,pen,pusher
6022,pickle,puss
6023,sour,puss
6024,sour,pusses
6025,through,put
6026,sea,quake
6027,earth,quake
6028,earth,quakes
6029,hind,quarter
6030,head,quarters
6031,hind,quarters
6032,jack,rabbit
6033,jack,rabbits
6034,tail,race
6035,foot,race
6036,head,race
6037,mill,race
6038,foot,races
6039,mill,races
6040,rick,rack
6041,toast,rack
6042,coat,rack
6043,hitch,rack
6044,hay,rack
6045,hat,rack
6046,horse,radish
6047,horse,radishes
6048,wash,rag
6049,dish,rag
6050,dust,rag
6051,wash,rags
6052,dish,rags
6053,hand,rail
6054,guard,rail
6055,guard,rails
6056,hand,rails
6057,fund,raiser
6058,fired,rake
6059,muck,raking
6060,pack,rat
6061,musk,rat
6062,birth,rate
6063,death,rate
6064,birth,rates
6065,under,rating
6066,over,rating
6067,musk,rats
6068,sting,ray
6069,sun,ray
6070,sting,rays
6071,ear,reach
6072,over,reaction
6073,over,reactions
6074,copy,reader
6075,proof,reader
6076,news,reader
6077,sight,reader
6078,proof,readers
6079,lip,reading
6080,make,ready
6081,midst,ream
6082,under,reckoning
6083,over,reckoning
6084,news,reel
6085,news,reels
6086,over,refinement
6087,cent,refold
6088,who,rehouse
6089,who,rehouses
6090,check,rein
6091,who,remaster
6092,grandpa,rent
6093,grandpa,rents
6094,hand,rest
6095,back,rest
6096,arm,rest
6097,foot,rest
6098,head,rest
6099,bed,rest
6100,arm,rests
6101,back,rests
6102,foot,rests
6103,head,rests
6104,spare,rib
6105,mid,rib
6106,mid,ribs
6107,spare,ribs
6108,hay,rick
6109,hay,ricks
6110,over,ride
6111,joy,ride
6112,night,rider
6113,rough,rider
6114,over,rides
6115,joy,rides
6116,surf,riding
6117,loosest,rife
6118,oil,rig
6119,thimble,rig
6120,hay,rig
6121,birth,right
6122,copy,right
6123,birth,rights
6124,copy,rights
6125,bull,ring
6126,ear,ring
6127,lock,ring
6128,bull,rings
6129,ear,rings
6130,sun,rise
6131,sun,rises
6132,cock,roach
6133,cock,roaches
6134,high,road
6135,cart,road
6136,cross,road
6137,rail,road
6138,cross,roads
6139,rail,roads
6140,high,roads
6141,grave,robber
6142,bath,robe
6143,ward,robes
6144,bath,robes
6145,sea,robin
6146,bed,rock
6147,grit,rock
6148,soap,rock
6149,sky,rocket
6150,sky,rockets
6151,bed,rocks
6152,silver,rod
6153,golden,rod
6154,ram,rod
6155,nail,rod
6156,ram,rods
6157,jelly,roll
6158,pay,roll
6159,bank,roll
6160,bed,roll
6161,steam,roller
6162,steam,rollers
6163,log,rolling
6164,bank,rolls
6165,bed,rolls
6166,pay,rolls
6167,jelly,rolls
6168,sun,roof
6169,sun,roofs
6170,work,room
6171,store,room
6172,green,room
6173,bed,room
6174,school,room
6175,board,room
6176,sick,room
6177,class,room
6178,ball,room
6179,bar,room
6180,wash,room
6181,sun,room
6182,lunch,room
6183,chat,room
6184,card,room
6185,sales,room
6186,club,room
6187,home,room
6188,tap,room
6189,bath,room
6190,head,room
6191,ward,room
6192,back,room
6193,play,room
6194,tea,room
6195,news,room
6196,house,room
6197,stock,room
6198,still,room
6199,pool,room
6200,dark,room
6201,guard,room
6202,sale,room
6203,fire,room
6204,state,room
6205,show,room
6206,rest,room
6207,coat,room
6208,cloak,room
6209,grill,room
6210,court,room
6211,check,room
6212,guest,room
6213,strong,room
6214,store,rooms
6215,cloak,rooms
6216,ward,rooms
6217,sick,rooms
6218,back,rooms
6219,rest,rooms
6220,class,rooms
6221,dark,rooms
6222,lunch,rooms
6223,bed,rooms
6224,play,rooms
6225,tea,rooms
6226,guard,rooms
6227,court,rooms
6228,sale,rooms
6229,pool,rooms
6230,home,rooms
6231,school,rooms
6232,check,rooms
6233,ball,rooms
6234,wash,rooms
6235,bar,rooms
6236,news,rooms
6237,show,rooms
6238,tap,rooms
6239,club,rooms
6240,sales,rooms
6241,board,rooms
6242,green,rooms
6243,strong,rooms
6244,coat,rooms
6245,bath,rooms
6246,work,rooms
6247,guest,rooms
6248,stock,rooms
6249,state,rooms
6250,hen,roost
6251,beet,root
6252,briar,root
6253,tap,root
6254,coral,root
6255,colic,root
6256,crinkle,root
6257,blood,root
6258,alum,root
6259,birth,root
6260,flag,root
6261,clove,root
6262,snake,root
6263,ginger,root
6264,papoose,root
6265,fume,root
6266,stone,root
6267,putty,root
6268,fever,root
6269,arrow,root
6270,red,root
6271,orris,root
6272,nerve,root
6273,bread,root
6274,balsam,root
6275,bitter,root
6276,finger,root
6277,squaw,root
6278,pink,root
6279,man,root
6280,long,root
6281,beet,roots
6282,tap,roots
6283,tow,rope
6284,tight,rope
6285,tight,ropes
6286,tow,ropes
6287,rock,rose
6288,sun,rose
6289,prim,roses
6290,heart,rot
6291,turn,round
